id,title,abstract,categories,cat_text,prepared_text
2003.09121,The Effective Potential Originating from Swampland and the Non-trivial   Brans-Dicke Coupling,"The effective vacuum energy density contributed by the non-trivial contortion distribution and the bare vacuum energy density can be viewed as the energy density of the auxiliary quintessence field potential. We find that the negative bare vacuum energy density from string landscape leads to a monotonically decreasing quintessence potential while the positive one from swampland leads to the meta stable or stable de Sitter like potential. Moreover, the non-trivial Brans-Dicke like coupling between quintessence field and gravitation field is necessary in the latter case.",gr-qc astro-ph.CO,"General Relativity and Quantum Cosmology, Cosmology and Nongalactic Astrophysics","The Effective Potential Originating from Swampland and the Non-trivial   Brans-Dicke Coupling 
 The effective vacuum energy density contributed by the non-trivial contortion distribution and the bare vacuum energy density can be viewed as the energy density of the auxiliary quintessence field potential. We find that the negative bare vacuum energy density from string landscape leads to a monotonically decreasing quintessence potential while the positive one from swampland leads to the meta stable or stable de Sitter like potential. Moreover, the non-trivial Brans-Dicke like coupling between quintessence field and gravitation field is necessary in the latter case."
1212.5270,HeII emitters in the VIMOS VLT Deep Survey: PopIII star formation or   peculiar stellar populations in galaxies at 2<z<4.6?,"The aim of this work is to identify HeII emitters at 2<z<4.6 and to constrain the source of the hard ionizing continuum that powers the HeII emission. We have assembled a sample of 277 galaxies with a high quality spectroscopic redshift at 2<z<4.6 from the VVDS survey, and we have identified 39 HeII1640A emitters. We study their spectral properties, measuring the fluxes, equivalent widths (EW) and FWHM for most relevant lines. About 10% of galaxies at z~3 show HeII in emission, with rest frame equivalent widths EW0~1-7A, equally distributed between galaxies with Lya in emission or in absorption. We find 11 high-quality HeII emitters with unresolved HeII line (FWHM_0<1200km/s), 13 high-quality emitters with broad He II emission (FWHM_0>1200km/s), 3 AGN, and an additional 12 possible HeII emitters. The properties of the individual broad emitters are in agreement with expectations from a W-R model. On the contrary, the properties of the narrow emitters are not compatible with such model, neither with predictions of gravitational cooling radiation produced by gas accretion. Rather, we find that the EW of the narrow HeII line emitters are in agreement with expectations for a PopIII star formation, if the episode of star formation is continuous, and we calculate that a PopIII SFR of 0.1-10 Mo yr-1 only is enough to sustain the observed HeII flux. We conclude that narrow HeII emitters are either powered by the ionizing flux from a stellar population rare at z~0 but much more common at z~3, or by PopIII star formation. As proposed by Tornatore et al. (2007), incomplete ISM mixing may leave some small pockets of pristine gas at the periphery of galaxies from which PopIII may form, even down to z~2 or lower. If this interpretation is correct, we measure at z~3 a SFRD in PopIII stars of 10^6Mo yr^-1 Mpc^-3 qualitatively comparable to the value predicted by Tornatore et al. (2007).",astro-ph.CO,Cosmology and Nongalactic Astrophysics,"HeII emitters in the VIMOS VLT Deep Survey: PopIII star formation or   peculiar stellar populations in galaxies at 2<z<4.6? 
 The aim of this work is to identify HeII emitters at 2<z<4.6 and to constrain the source of the hard ionizing continuum that powers the HeII emission. We have assembled a sample of 277 galaxies with a high quality spectroscopic redshift at 2<z<4.6 from the VVDS survey, and we have identified 39 HeII1640A emitters. We study their spectral properties, measuring the fluxes, equivalent widths (EW) and FWHM for most relevant lines. About 10% of galaxies at z~3 show HeII in emission, with rest frame equivalent widths EW0~1-7A, equally distributed between galaxies with Lya in emission or in absorption. We find 11 high-quality HeII emitters with unresolved HeII line (FWHM_0<1200km/s), 13 high-quality emitters with broad He II emission (FWHM_0>1200km/s), 3 AGN, and an additional 12 possible HeII emitters. The properties of the individual broad emitters are in agreement with expectations from a W-R model. On the contrary, the properties of the narrow emitters are not compatible with such model, neither with predictions of gravitational cooling radiation produced by gas accretion. Rather, we find that the EW of the narrow HeII line emitters are in agreement with expectations for a PopIII star formation, if the episode of star formation is continuous, and we calculate that a PopIII SFR of 0.1-10 Mo yr-1 only is enough to sustain the observed HeII flux. We conclude that narrow HeII emitters are either powered by the ionizing flux from a stellar population rare at z~0 but much more common at z~3, or by PopIII star formation. As proposed by Tornatore et al. (2007), incomplete ISM mixing may leave some small pockets of pristine gas at the periphery of galaxies from which PopIII may form, even down to z~2 or lower. If this interpretation is correct, we measure at z~3 a SFRD in PopIII stars of 10^6Mo yr^-1 Mpc^-3 qualitatively comparable to the value predicted by Tornatore et al. (2007)."
1901.01041,Kinetic Field Theory applied to Vector-Tensor Gravity,"The formation of cosmic structures is an important diagnostic for both the dynamics of the cosmological model and the underlying theory of gravity. At the linear level of these structures, certain degeneracies remain between different cosmological models and alternative gravity theories. It is thus indispensable to study the non-linear, late-time evolution of cosmic structures to try and disentangle their fundamental properties caused by the cosmological model or gravity theory itself. Conventionally, non-linear cosmic structure formation is studied by means of computationally expensive numerical simulations. Since these inevitably suffer from shot noise and are too time consuming to systematically scrutinize large parameter spaces of cosmological models or fundamental theories, analytical methods are needed to overcome the limitations of numerical simulations.   Recently, a new analytic approach to non-linear cosmic structure formation has been proposed based on kinetic field theory for classical particle ensembles. Within this theory, a closed, analytic, non-perturbative and parameter-free equation could be derived for the non-linear power spectrum of cosmic density perturbations which agrees very well with numerically simulated results to wave numbers $k\lesssim10\,h\,\mathrm{Mpc}^{-1}$ at redshift $z = 0$. In this Letter, we study for the first time the implications of alternative gravity theories for non-linear cosmic structure formation applying this promising new analytic framework. As an illustrative example, we consider vector-tensor theories, which support very interesting isotropic cosmological solutions.",astro-ph.CO gr-qc hep-th,"Cosmology and Nongalactic Astrophysics, General Relativity and Quantum Cosmology, High Energy Physics - Theory","Kinetic Field Theory applied to Vector-Tensor Gravity 
 The formation of cosmic structures is an important diagnostic for both the dynamics of the cosmological model and the underlying theory of gravity. At the linear level of these structures, certain degeneracies remain between different cosmological models and alternative gravity theories. It is thus indispensable to study the non-linear, late-time evolution of cosmic structures to try and disentangle their fundamental properties caused by the cosmological model or gravity theory itself. Conventionally, non-linear cosmic structure formation is studied by means of computationally expensive numerical simulations. Since these inevitably suffer from shot noise and are too time consuming to systematically scrutinize large parameter spaces of cosmological models or fundamental theories, analytical methods are needed to overcome the limitations of numerical simulations.   Recently, a new analytic approach to non-linear cosmic structure formation has been proposed based on kinetic field theory for classical particle ensembles. Within this theory, a closed, analytic, non-perturbative and parameter-free equation could be derived for the non-linear power spectrum of cosmic density perturbations which agrees very well with numerically simulated results to wave numbers $k\lesssim10\,h\,\mathrm{Mpc}^{-1}$ at redshift $z = 0$. In this Letter, we study for the first time the implications of alternative gravity theories for non-linear cosmic structure formation applying this promising new analytic framework. As an illustrative example, we consider vector-tensor theories, which support very interesting isotropic cosmological solutions."
1607.02094,Magneto-optic effects of the Cosmic Microwave Background,"Generation of magneto-optic effects by the interaction of the CMB with cosmic magnetic fields is studied. Effects which generate polarization such as the Cotton-Mouton effect, vacuum polarization and photon-pseudoscalar mixing in external magnetic field are studied. Considering the CMB linearly polarized at decoupling time, it is shown that photon-pseudoscalar mixing in external magnetic field, the Cotton-Mouton effect in plasma and the vacuum polarization in cosmic magnetic field, would generate elliptic polarization of the CMB depending on the photon frequency and magnetic field strength. Among standard magneto-optic effects, the Cotton-Mouton effect in plasma turns out to be the dominant effect in the generation of CMB elliptic polarization in the low frequency part $\nu_0 \sim 10^8-10^9$ Hz with degree of circular polarization $P_C(T_0)\simeq 10^{-10}-10^{-6}$ for magnetic field amplitude $B_{e0}\sim 100\, \text{nG}-1$ nG. The vacuum polarization in magnetic field is the dominant process in the high frequency part $\nu_0\geq 10^{10}$ Hz where the degree of circular polarization at present is $P_C(T_0)\lesssim 10^{-11}$ in the best scenario. It is shown that photon-pseudoscalar particle mixing in cosmic magnetic field generates elliptic polarization of the CMB as well and even in the case of initially unpolarized CMB. New limits/constraints on the pseudoscalar parameter space are found. By using current limit on the degree of circular polarization of the CMB, the upper limit of $|g_{\phi\gamma}|<4.29\times 10^{-19}(\text{G}/B_{e0})$ GeV$^{-1}$ for $m_\phi<1.6\times 10^{-14}$ eV in the weak mixing case is found. If $|g_{\phi\gamma}| < 1.17\times 10^{-24}(\text{G}/B_{e0})$ GeV$^{-1}$, a value of the order $|g_{\phi\gamma}|\simeq 10^{-26}(\text{G}/B_{e0})$ GeV$^{-1}$ for $m_\phi\simeq 1.6\times 10^{-14}$ eV in the resonant case, from large scale temperature anisotropy is obtained.",astro-ph.CO gr-qc hep-ph quant-ph,"Cosmology and Nongalactic Astrophysics, General Relativity and Quantum Cosmology, High Energy Physics - Phenomenology, Quantum Physics","Magneto-optic effects of the Cosmic Microwave Background 
 Generation of magneto-optic effects by the interaction of the CMB with cosmic magnetic fields is studied. Effects which generate polarization such as the Cotton-Mouton effect, vacuum polarization and photon-pseudoscalar mixing in external magnetic field are studied. Considering the CMB linearly polarized at decoupling time, it is shown that photon-pseudoscalar mixing in external magnetic field, the Cotton-Mouton effect in plasma and the vacuum polarization in cosmic magnetic field, would generate elliptic polarization of the CMB depending on the photon frequency and magnetic field strength. Among standard magneto-optic effects, the Cotton-Mouton effect in plasma turns out to be the dominant effect in the generation of CMB elliptic polarization in the low frequency part $\nu_0 \sim 10^8-10^9$ Hz with degree of circular polarization $P_C(T_0)\simeq 10^{-10}-10^{-6}$ for magnetic field amplitude $B_{e0}\sim 100\, \text{nG}-1$ nG. The vacuum polarization in magnetic field is the dominant process in the high frequency part $\nu_0\geq 10^{10}$ Hz where the degree of circular polarization at present is $P_C(T_0)\lesssim 10^{-11}$ in the best scenario. It is shown that photon-pseudoscalar particle mixing in cosmic magnetic field generates elliptic polarization of the CMB as well and even in the case of initially unpolarized CMB. New limits/constraints on the pseudoscalar parameter space are found. By using current limit on the degree of circular polarization of the CMB, the upper limit of $|g_{\phi\gamma}|<4.29\times 10^{-19}(\text{G}/B_{e0})$ GeV$^{-1}$ for $m_\phi<1.6\times 10^{-14}$ eV in the weak mixing case is found. If $|g_{\phi\gamma}| < 1.17\times 10^{-24}(\text{G}/B_{e0})$ GeV$^{-1}$, a value of the order $|g_{\phi\gamma}|\simeq 10^{-26}(\text{G}/B_{e0})$ GeV$^{-1}$ for $m_\phi\simeq 1.6\times 10^{-14}$ eV in the resonant case, from large scale temperature anisotropy is obtained."
1005.2413,Galaxy Clustering in the Completed SDSS Redshift Survey: The Dependence   on Color and Luminosity,"We measure the luminosity and color dependence of galaxy clustering in the SDSS DR7 main galaxy sample, focusing on the projected correlation function w_p(r_p) of volume-limited samples. We interpret our measurements using halo occupation distribution (HOD) modeling assuming a Lambda-CDM cosmology. The amplitude of w_p(r_p) grows slowly with luminosity for L < L_* and increases sharply at higher luminosities, with bias factor b(>L)=1.06+0.23(L/L_*)^{1.12}. At fixed luminosity, redder galaxies have a stronger and steeper w_p(r_p), a trend that runs steadily from the bluest galaxies to the reddest galaxies. The individual luminosity trends for the red and blue galaxy populations are strikingly different. Blue galaxies show a slow but steady increase of w_p(r_p) with luminosity, at all scales. The large-scale clustering of red galaxies shows little luminosity dependence until a sharp increase at L > 4L_*, but the lowest luminosity red galaxies (0.04-0.25 L_*) show very strong clustering on scales r_p < 2 Mpc/h. Most of the observed trends can be naturally understood within the LCDM+HOD framework. The growth of w_p(r_p) with luminosity reflects an overall shift in the halo mass scale, in particular an increase in the minimum host halo mass Mmin. The mass at which a halo has, on average, one satellite galaxy brighter than L is M_1 ~ 17 Mmin(L) over most of the luminosity range. The growth and steepening of w_p(r_p) for redder galaxies reflects the increasing fraction of galaxies that are satellite systems in high mass halos instead of central systems in low mass halos, a trend that is especially marked at low luminosities. Our extensive measurements, provided in tabular form, will allow detailed tests of theoretical models of galaxy formation, a firm grounding of semi-empirical models of the galaxy population, and new cosmological tests.",astro-ph.CO,Cosmology and Nongalactic Astrophysics,"Galaxy Clustering in the Completed SDSS Redshift Survey: The Dependence   on Color and Luminosity 
 We measure the luminosity and color dependence of galaxy clustering in the SDSS DR7 main galaxy sample, focusing on the projected correlation function w_p(r_p) of volume-limited samples. We interpret our measurements using halo occupation distribution (HOD) modeling assuming a Lambda-CDM cosmology. The amplitude of w_p(r_p) grows slowly with luminosity for L < L_* and increases sharply at higher luminosities, with bias factor b(>L)=1.06+0.23(L/L_*)^{1.12}. At fixed luminosity, redder galaxies have a stronger and steeper w_p(r_p), a trend that runs steadily from the bluest galaxies to the reddest galaxies. The individual luminosity trends for the red and blue galaxy populations are strikingly different. Blue galaxies show a slow but steady increase of w_p(r_p) with luminosity, at all scales. The large-scale clustering of red galaxies shows little luminosity dependence until a sharp increase at L > 4L_*, but the lowest luminosity red galaxies (0.04-0.25 L_*) show very strong clustering on scales r_p < 2 Mpc/h. Most of the observed trends can be naturally understood within the LCDM+HOD framework. The growth of w_p(r_p) with luminosity reflects an overall shift in the halo mass scale, in particular an increase in the minimum host halo mass Mmin. The mass at which a halo has, on average, one satellite galaxy brighter than L is M_1 ~ 17 Mmin(L) over most of the luminosity range. The growth and steepening of w_p(r_p) for redder galaxies reflects the increasing fraction of galaxies that are satellite systems in high mass halos instead of central systems in low mass halos, a trend that is especially marked at low luminosities. Our extensive measurements, provided in tabular form, will allow detailed tests of theoretical models of galaxy formation, a firm grounding of semi-empirical models of the galaxy population, and new cosmological tests."
2212.14192,Probing sterile neutrino dark matter in the PTOLEMY-like experiment,"We study the prospect to detect the cosmic background of sterile neutrinos in the Tritium $\beta$-decay, such as PTOLEMY-like experiments. The sterile neutrino with mass between 1 eV - 10 keV may contribute to the local density as warm or cold DM component. In this study, we investigate the possibility for searching them in the models with different production in the early Universe, without assuming sterile neutrino as full dark matter component. In these models, especially with low-reheating temperature or phase transition, the capture rate per year can be greatly enhanced to be $\mathcal O(10)$ without violating other astrophysical and cosmological observations.",hep-ph astro-ph.CO,"High Energy Physics - Phenomenology, Cosmology and Nongalactic Astrophysics","Probing sterile neutrino dark matter in the PTOLEMY-like experiment 
 We study the prospect to detect the cosmic background of sterile neutrinos in the Tritium $\beta$-decay, such as PTOLEMY-like experiments. The sterile neutrino with mass between 1 eV - 10 keV may contribute to the local density as warm or cold DM component. In this study, we investigate the possibility for searching them in the models with different production in the early Universe, without assuming sterile neutrino as full dark matter component. In these models, especially with low-reheating temperature or phase transition, the capture rate per year can be greatly enhanced to be $\mathcal O(10)$ without violating other astrophysical and cosmological observations."
2205.12608,Slow-Roll Inflation at N3LO,"The next generation of cosmological observations will be sensitive to small deviations from a pure power law in the primordial power spectrum of the curvature perturbations. In the context of slow-roll inflation, these deviations are expected and correspond to the so-called running of the spectral index. Their measurement would bring as much information as the discovery of deviations from scale invariance. However, robust parameter inference requires to marginalize over any possible higher order uncertainties, which have been, up to now, not fully determined. We tackle this issue by deriving the inflationary scalar and tensor slow-roll power spectra at next-to-next-to-next to leading order (N3LO), fully expanded around an observable pivot wavenumber, for all single field inflationary models having minimal and non-minimal kinetic terms. Our result therefore encompasses string-inspired inflationary models having a varying speed of sound.",astro-ph.CO gr-qc hep-ph hep-th,"Cosmology and Nongalactic Astrophysics, General Relativity and Quantum Cosmology, High Energy Physics - Phenomenology, High Energy Physics - Theory","Slow-Roll Inflation at N3LO 
 The next generation of cosmological observations will be sensitive to small deviations from a pure power law in the primordial power spectrum of the curvature perturbations. In the context of slow-roll inflation, these deviations are expected and correspond to the so-called running of the spectral index. Their measurement would bring as much information as the discovery of deviations from scale invariance. However, robust parameter inference requires to marginalize over any possible higher order uncertainties, which have been, up to now, not fully determined. We tackle this issue by deriving the inflationary scalar and tensor slow-roll power spectra at next-to-next-to-next to leading order (N3LO), fully expanded around an observable pivot wavenumber, for all single field inflationary models having minimal and non-minimal kinetic terms. Our result therefore encompasses string-inspired inflationary models having a varying speed of sound."
2008.08519,Building Halo Merger Trees from the Q Continuum Simulation,"Cosmological N-body simulations rank among the most computationally intensive efforts today. A key challenge is the analysis of structure, substructure, and the merger history for many billions of compact particle clusters, called halos. Effectively representing the merging history of halos is essential for many galaxy formation models used to generate synthetic sky catalogs, an important application of modern cosmological simulations. Generating realistic mock catalogs requires computing the halo formation history from simulations with large volumes and billions of halos over many time steps, taking hundreds of terabytes of analysis data. We present fast parallel algorithms for producing halo merger trees and tracking halo substructure from a single-level, density-based clustering algorithm. Merger trees are created from analyzing the halo-particle membership function in adjacent snapshots, and substructure is identified by tracking the ""cores"" of merging halos -- sets of particles near the halo center. Core tracking is performed after creating merger trees and uses the relationships found during tree construction to associate substructures with hosts. The algorithms are implemented with MPI and evaluated on a Cray XK7 supercomputer using up to 16,384 processes on data from HACC, a modern cosmological simulation framework. We present results for creating merger trees from 101 analysis snapshots taken from the Q Continuum, a large volume, high mass resolution, cosmological simulation evolving half a trillion particles.",astro-ph.CO cs.DC,"Cosmology and Nongalactic Astrophysics, Distributed, Parallel, and Cluster Computing","Building Halo Merger Trees from the Q Continuum Simulation 
 Cosmological N-body simulations rank among the most computationally intensive efforts today. A key challenge is the analysis of structure, substructure, and the merger history for many billions of compact particle clusters, called halos. Effectively representing the merging history of halos is essential for many galaxy formation models used to generate synthetic sky catalogs, an important application of modern cosmological simulations. Generating realistic mock catalogs requires computing the halo formation history from simulations with large volumes and billions of halos over many time steps, taking hundreds of terabytes of analysis data. We present fast parallel algorithms for producing halo merger trees and tracking halo substructure from a single-level, density-based clustering algorithm. Merger trees are created from analyzing the halo-particle membership function in adjacent snapshots, and substructure is identified by tracking the ""cores"" of merging halos -- sets of particles near the halo center. Core tracking is performed after creating merger trees and uses the relationships found during tree construction to associate substructures with hosts. The algorithms are implemented with MPI and evaluated on a Cray XK7 supercomputer using up to 16,384 processes on data from HACC, a modern cosmological simulation framework. We present results for creating merger trees from 101 analysis snapshots taken from the Q Continuum, a large volume, high mass resolution, cosmological simulation evolving half a trillion particles."
1708.02138,Electroweak Vacuum Collapse induced by Vacuum Fluctuations of the Higgs   Field around Evaporating Black Holes,"In this paper, we discuss the Higgs vacuum stability around evaporating black holes. We provide a new approach to investigate the false vacuum decay around the black hole and clearly show how vacuum fluctuations of the Higgs induce a gravitational collapse of the vacuum. Furthermore, we point out that the backreaction of the Hawking radiation can not be ignored and the gravitational vacuum decay is exponentially suppressed. However, a large number of the evaporating (or evaporated) primordial black holes threaten the existence of the Universe and we obtain a new upper bound on the evaporating PBH abundance from the vacuum stability. Finally, we show that the high-order corrections of the BSM or QG would not destabilize the Higgs potential, otherwise even a single evaporating black hole triggers a collapse of the electroweak vacuum.",hep-ph astro-ph.CO gr-qc hep-th,"High Energy Physics - Phenomenology, Cosmology and Nongalactic Astrophysics, General Relativity and Quantum Cosmology, High Energy Physics - Theory","Electroweak Vacuum Collapse induced by Vacuum Fluctuations of the Higgs   Field around Evaporating Black Holes 
 In this paper, we discuss the Higgs vacuum stability around evaporating black holes. We provide a new approach to investigate the false vacuum decay around the black hole and clearly show how vacuum fluctuations of the Higgs induce a gravitational collapse of the vacuum. Furthermore, we point out that the backreaction of the Hawking radiation can not be ignored and the gravitational vacuum decay is exponentially suppressed. However, a large number of the evaporating (or evaporated) primordial black holes threaten the existence of the Universe and we obtain a new upper bound on the evaporating PBH abundance from the vacuum stability. Finally, we show that the high-order corrections of the BSM or QG would not destabilize the Higgs potential, otherwise even a single evaporating black hole triggers a collapse of the electroweak vacuum."
2104.12992,Bayesian cosmological inference through implicit cross-correlation   statistics,"Analyzes of next-generation galaxy data require accurate treatment of systematic effects such as the bias between observed galaxies and the underlying matter density field. However, proposed models of the phenomenon are either numerically expensive or too inaccurate to achieve unbiased inferences of cosmological parameters even at mildly-nonlinear scales of the data. As an alternative to constructing accurate galaxy bias models, requiring understanding galaxy formation, we propose to construct likelihood distributions for Bayesian forward modeling approaches that are insensitive to linear, scale-dependent bias and provide robustness against model misspecification. We use maximum entropy arguments to construct likelihood distributions designed to account only for correlations between data and inferred quantities. By design these correlations are insensitive to linear galaxy biasing relations, providing the desired robustness. The method is implemented and tested within a Markov Chain Monte Carlo approach. The method is assessed using a halo mock catalog based on standard full, cosmological, N-body simulations. We obtain unbiased and tight constraints on cosmological parameters exploiting only linear cross-correlation rates for $k\le 0.10$ Mpc/h. Tests for halos of masses ~10$^{12}$ M$_\odot$ to ~10$^{13}$ M$_\odot$ indicate that it is possible to ignore all details of the linear, scale dependent, bias function while obtaining robust constraints on cosmology. Our results provide a promising path forward to analyzes of galaxy surveys without the requirement of having to accurately model the details of galaxy biasing but by designing robust likelihoods for the inference.",astro-ph.CO astro-ph.IM,"Cosmology and Nongalactic Astrophysics, Instrumentation and Methods for Astrophysics","Bayesian cosmological inference through implicit cross-correlation   statistics 
 Analyzes of next-generation galaxy data require accurate treatment of systematic effects such as the bias between observed galaxies and the underlying matter density field. However, proposed models of the phenomenon are either numerically expensive or too inaccurate to achieve unbiased inferences of cosmological parameters even at mildly-nonlinear scales of the data. As an alternative to constructing accurate galaxy bias models, requiring understanding galaxy formation, we propose to construct likelihood distributions for Bayesian forward modeling approaches that are insensitive to linear, scale-dependent bias and provide robustness against model misspecification. We use maximum entropy arguments to construct likelihood distributions designed to account only for correlations between data and inferred quantities. By design these correlations are insensitive to linear galaxy biasing relations, providing the desired robustness. The method is implemented and tested within a Markov Chain Monte Carlo approach. The method is assessed using a halo mock catalog based on standard full, cosmological, N-body simulations. We obtain unbiased and tight constraints on cosmological parameters exploiting only linear cross-correlation rates for $k\le 0.10$ Mpc/h. Tests for halos of masses ~10$^{12}$ M$_\odot$ to ~10$^{13}$ M$_\odot$ indicate that it is possible to ignore all details of the linear, scale dependent, bias function while obtaining robust constraints on cosmology. Our results provide a promising path forward to analyzes of galaxy surveys without the requirement of having to accurately model the details of galaxy biasing but by designing robust likelihoods for the inference."
